dimension,rank,doc_id,title,year,section,snippet,metrics,evidence_strength,semantic_score,structural_score,recency_score,diversity_score,final_score
Vision general,1,YDFZCS32,Trends in Development of Databases and Blockchain,2020,Abstract,x  Instagram  Github  and eBay. It is a fully decentralized system and pro- vides great performance  durability and fault tolerance wi thout compromising availability. Cassandra has its query langua ge named CQL to interact with the system. When establishing consistency  Cassandra also supports lightweight transac tions. TiesDB [40] is a public  decentralized  and distributed database. Ties Network is a deep modiﬁcation of the Cassandr a database. It is ﬂexible on choosing an underlying NoSQL database and hence inherits most of the features from the underlying database. It adds Byzantine fault tolerance (BF T)  while most of the NoSQL database lacks BFT. It is fast and supports sharding  smart contracts  and incentive schemes . It can be used to build decentralized applications providing f ast data retrieval. CosmosDB Azure Cosmos [41] DB is Microsoft’s glob- ally distributed  fully-decentralized  multi-model data base. The database models can be key-value  graph  or document. It pro - vides availability and consistency with comprehensive ser vice level agreements (SLAs). It offers multi-master replicati on across various regional distributions. Many enterprises c an beneﬁt from building a decentralized blockchain applicati on using CosmosDB. HBase [42] is a NoSQL distributed database tuned for the massive data sets. HBasechainDB [43] is a scalable big data store based on the concept of blockchain.,availability; consistency,weak,0.0022,1.4,1.0,0,0.3816
Vision general,2,RF2EDVJI,SYSTEMATIC REVIEW OF BLOCKCHAIN TECHNOLOGY IN TRADE FINANCE AND BANKING SECURITY,2022,Abstract,ecurity.  American Journal of Scholarly  Research and Innovation  1 (1)  25- 52.  https://doi.org/10.63125/vs65vx40 Received:   July 10  2022 Revised:   October 5  2022 Accepted:   November 18  2022 Published:   December 15  2022 Copyright: © 2022 by the author(s). This article is published  under the license of American Scholarly  Publishing Group Inc and is available for open  access under the terms of the Creative  Commons Attribution License (CC BY 4.0)   which permits unrestricted use  distribution  and  reproduction in any medium  provided the  original author and source are credited. The  authors affirm that this work represents their  original research and has not been previously  published or is under consideration elsewhere.  Any third-party content incorporated within this  work complies with applicable copyright laws   and appropriate permissions have been  obtained where necessary. For inquiries  regarding permissions  reproduction rights  or  licensing  please contact the American  Scholarly Publishing Group Inc at  info@americanscholarly.us 1PhD Candidate (Management)  Putra Business School  Selangor  Malaysia   Email: dr.limanazim7777@gmail.com 2First Assistant Vice President and Relationship Manager   Prime Bank PLC    Dhaka  Bangladesh.  Email: skmunira@gmail.com,tps,weak,0.0022,1.4,1.0,0,0.3816
Vision general,3,BWBB68QP,A Survey of Blockchain Applications in the FinTech Sector,2022,Methodology,Issues Everex Blockchain Implementation Issues Lack of Financial Inclusion SureRemit does not need a bank account on the receiving side to use the voucher that is sent—the receiver simply needs a mobile phone to be able to use the voucher. Everex partners with banks targeting underbanked populations and allows workers to send money home without paying high remittance fees. Merchants must be partnered with SureRemit and accept tokens. Everex needs to have licensed exchange partners in the country of receipt to exchange tokens into local currency. Cost of Compliance Among Different Regulatory Environments SureRemit leverages the Stellar platform and also acquires partner merchants to bypass different regulatory environments altogether by settling Remit tokens with ﬁat currency via Stellar. - The Token can only be used to make purchases with partner merchants. Therefore  the money cannot be used if a partner merchant does not accept the Remit token. - Interoperability SureRemit has standardized the process regardless of country. The same information is required no matter where or with whom the transaction is placed. Everex has trusted banking partners in the countries they interact with  thus promising a 1:1 conversion rate of their eFiat stablecoins. - For the stable coins to be redeemed in Fiat currency  Everex must have local banking partners that operate within that currency. Otherwise  the eFiat cannot be sent/redeemed. Risk RemitToken is not subject to the volatility of currency exchange rates. Immediate and continuous liquidity provided by Stellar allows for the issuance and trading of tokens immediately. Therefore  they are not subject to the risk of exchange rates. The Everex Token is a dollar-pegged stablecoin  ensuring that the money being transferred is equivalent to the same ﬁat currency that is being transferred. The stablecoins used by Everex when redeemed from eFiat to ﬁat are subject to conversion rates that can be volatile. - Table 10. Remittance/International Money Transfer.,,weak,0.0023,1.3,1.0,0,0.3616
Vision general,4,2X6TJS94,Zero-trust-based security model against data breaches in the banking sector: A blockchain consensus algorithm,2023,Methodology,fectively with the use of an IDS. By moni- toring ICS  the company can evaluate the security practices followed by their users and educate them if any failure to adhere to compliance is noticed. This will ensure cyber awareness among users. ∙Data access policies (DAP) store the access control policies generated by the policy engine. The policies associated with accessing resources are encoded in this system. When an access request is notiﬁed  the policy engine communicates with DAP to determine the access privileges and policies related to the access request. Each policy is made about the business requirement. ∙Access logs on the other hand keep a record of every resource access and activity logs and network trafﬁc happening in the cloud premises as well as company premises. Logs are maintained across every resource to ensure if any security incident happens  traces can be made use of to analyze the activities. ∙Threat intelligence feed (TIF) gathers threat data from inter- nal as well as external resources to notify the policy engine regarding the access request decision. ∙Public key infrastructure (PKI) takes control of the produc- ing certiﬁcates to distribute among the assets and resources in banks. ∙ID management system (IDMS) is responsible for establish- ing  maintaining  and managing user accounts and data. The key information regarding a user is stored in this system. It also communicates with PKI to services required for account users. Security information and event management (SIEM) gath- ers security-related data for future examinations and helps in  26341573  2023  2  Downloaded from https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/blc2.12028  Wiley Online Library on [18/02/2026]. See the Terms and Conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on Wiley Online Library for rules of use; OA articles are governed by the applicable Creative Commons License CHAUDHRY and HYDROS 109 FIGURE 9 The proposed framework. policy revising. It also notiﬁes the enterprise of any possibility of attacks. 3.2 Blockchain mechanism in the proposed model Considering the security of banks  online payment transactions must be scrutinized as well.,tps; security,weak,0.0023,1.3,1.0,0,0.3616
Vision general,5,2UZ4P6TX,Streamlining Financial Operations: Developing Multi-Interface Contract Transfer Systems for Efficiency and Security,2022,Methodology,Issue 2  March – April 2022 ||     DOI: 10.15680/IJCTECE.2022.0502004  IJCTEC© 2022                                                            |     An ISO 9001:2008 Certified Journal   |                                               4826 on the platforms of HTML  CSS  JavaScript  jQuery  AngularJS  and FTL templates  which allows r endering dynamic  content  a cross-browsing platform  and a unified user experience across all interfaces. Service Layer is the heart of the processing in the system. It is written on the basis of Java  Spring MVC and  microservices principles  which consoli dates business logic into reusable  modular components. Such architecture  enhances the cleaner code  simple improvements  and scalability of major functionalities in an independent manner. The Integration Layer controls communication between the external a nd enterprise systems. It provides a means of safe  and systematic data communication  interoperability of legacy  and real -time synchronization of the contract data  across applications  utilizing MuleSoft  REST APIs  and SOAP services. The Data Layer operates on Oracle Database at the base with stored procedures and improved SQL queries to realize an  effective data retrieval  transaction processing  and performance optimization. This multi -layered architecture with  structures contributes to more reliability  in the system  development agility  and the high performance requirement of  large-scale financial operations.,scalability,weak,0.0023,1.3,1.0,0,0.3616
Vision general,6,L3QZW66X,The link between sustainable business models and Blockchain: A multiple case study approach,2023,Results,ge. Transactions are easy and instant and dont cost. Since Swincas asset records are stored in the Blockchain  buying  renting and receiving dividends become easy  fast and decentralized through the blockchain. #9 and #10 8 CALANDRA ET AL . TABLE 3 (Continued) Topics Cases Description SDGs Alt.Estate Alt.Estate is a financial technology company offering the protocol for real estate tokenization and the platform for buying and trading tokenized property assets in fractions. The blockchain platform is the marketplace for prior sales and secondary trading of tokenized assets. It allows users to trade real estate in fractions with higher liquidity and lower costs. #9 and #10 Social engagement and innovation Fan 360 The blockchain-based Fan360 token will enable us to run an automated smart reward system based on fans contributions. Fan360 will allow fans to earn tokens for their contributions and redeem them for a wide range of activities (i.e. tickets  merchandize  unique experiences  etc.). The project creates engagement for fans allowing them to participate in processes and earn rewards from sports. #10 Migranet Migranet is a blockchain migration platform. It presented a one-stop solution to migrants and accredited migration practitioners by automating the processing of migration applications. It also assists refugees with their skills assessment to be integrated into their host country post-selection. #4  #8 and #10 Knowledge Knowledge is universally beneficial and creating incentives for developing and propagating knowledge benefits various economic  social  and educational environments. It tells stories and identify individual brilliance in a way that has never been possible before. Through integration with the Knowledge platform  educators  employers  advocates  and others can value and exchange knowledge through voluntary or gamified interactions. Users that interact with the knowledge platform are rewarded for contributing.,,strong,0.0023,1.3,1.0,0,0.3616
Vision general,7,KW93KXXW,A case study of using blockchain technology in regulatory technology,2020,Methodology,PI  XML  report  manual). Consistent Adjustments Adjustments must be made early enough in the reporting process to prevent having  to make the same adjustments in several reports  but the fact an adjustment was  made is not always clear. 2. Governance  Transparency  and Accountability Data Lineage and  Provenance Determining data lineage has been a problem  and although solutions have  been implemented across the industry to mitigate this issue  they have not been  entirely satisfactory. Problems caused by data aggregations that occur at increasing  distances from the source continue to grow. Data provenance issues persist as data is frequently manipulated to meet  requirements. Reconciliation Firms spend much time and cost on manual data collation and internal reconciliation  from multiple sources and on meeting regulatory reporting deadlines. 3. Consistently Interpreting and Applying Rules and Obligations to Customers Complexity of Process Firms spend large amounts of money on compliance departments or have to hire  experts to make sense of the FCA rules handbook  making the process very costly  and expensive. Barriers to Entry  (Regulator benefit) Hard for the FCA to understand whether smaller firms need to be regulated at all;  regulation is a serious barrier to entry that prohibits innovation in other sectors. Product Mapping  (Regulator benefit) A problem primarily for the FCA when banks have different implementations of the  FCA rules (which are easy to misinterpret and misunderstand). 24    MIS Quarterly Executive | March 2020 (19:1) misqe.org | © 2020 University of Minnesota A Case Study of Using Blockchain Technology in Regulatory Technology Once the regulator receives the data from  different lenders it performs its own process of  collating  validating  and reconciling the data  from different banks  which further delays a  holistic understanding of the mortgage sales  reported. Often this process will reveal errors and  queries  which require feedback from the relevant  banks. Data is stored in the regulator’s business  intelligence data warehouse.,,medium,0.0022,1.3,1.0,0,0.3616
Vision general,8,HTU6GFIS,"Blockchain, Enterprise Resource Planning (ERP) and Accounting Information Systems (AIS): Research on e-Procurement and System Integration",2021,Results,ss enterprises. SAP development can include Oracle as a database system as it can be integrated with numerous databases. Both SAP and Microsoft offer structured solutions  market leaders and are widely used in the essential companies [ 80]. Dynamics 365 delivers real-time results through a well-designed uniﬁed interface that allows employees to increase productivity even on the move [81]. It contains many functions such as sales  ﬁeld service and marketing. Microsoft’s main merit was to bring together the parts of CRM with those of ERP in a single environment. Therefore  ERP systems have signiﬁcant similarities that can allow generalisations  but at the same time  they have differences that provide justiﬁcations to use SAP as the primary example concerning integration. The popularity of SAP is conﬁrmed because KPMG offers speciﬁc ERP systems instal- lation  conﬁguration  integration services  testing  and training for these three providers among the so-called big four audit companies [82]. SAP   Oracle and Microsoft  also named “the big three” [ 83]  are often compared in market share  users appreciation  easy-to-use  and development. Therefore  we prefer to use SAP as the leading example in the case study. Intending to ﬁnd IT solutions for companies  the multinational has produced business intelligence  CRM (customer relationship management) systems and one of the most efﬁcient ERP (enterprise resource planning) systems in the world. SAP   the acronym of “ systems  applications and products in data processing”  is the most widespread and practical software of the ERP array. Its characteristics make it ideal for company management; in fact  it is adopted by multinationals or large companies  but lately  SMEs are also implementing it to manage and plan all activities. The main features of this software are listed below: - It allows combining each area of the company because all data is collected in a shared database. - It has a modular structure that we will deepen below. - It is customisable.,,medium,0.0022,1.3,1.0,0,0.3615
Vision general,9,95TMJST6,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects,2022,Introduction,The Internet of Things (IoT) is a network of tiny devices connected over the Internet to observe the physical world  gather data  and consciously act on it in a useful way. Billions of connected IoT devices are expected to bring a substantial added value for communities and for individuals  also in view of the fact that IoT is tightly connected with several well-known trends  such as Big Data  smart cities  and Industry 4.0  which promise to deeply change many aspects of our lives in the future. As an example  the unprecedented amount of data gathered by billions of IoT sensors will bring us the ability to get new insights and actionable intelligence regarding our world [1 2]. The pervasive presence of smart connected devices will enable the development of innovative services to improve our lives [3] and to face new and unexpected challenges  such as the COVID-19 outbreak [4]  and private and public objects (i.e.  things) will be available to anyone for renting  even for a short time  to support a new form of shared economy [5]. The general problem of giving a reward to subjects that contribute to this novel added value ecosystem is not only an economic or business-related question. Many IoT applications are peculiar regarding the amount of involved users  the volume and diversity of generated data  the frequency of economic transactions and their latency constraints  J. Sens. Actuator Netw. 2022  11  20. https://doi.org/10.3390/jsan11020020 https://www.mdpi.com/journal/jsan J. Sens. Actuator Netw. 2022  11  20 2 of 36 as well as security requirements. Hence  related technical and architectural aspects are by themselves an interesting cross-cutting dimension for many IoT applications. This is even more compelling if we observe that decentralization is going to be a fundamental aspect of evolved IoT ecosystems. In fact  a single organization handling a vast amount of heterogeneous and pervasive IoT devices is not simply unrealistic  but also unfeasible. We expect that in the more complex scenarios  many organizations will contribute to a single IoT ecosystem. Furthermore  the pervasive nature of IoT deployments usually requires the involvement of end-users that buy  deploy  and contribute their devices to an ecosystem on the basis of some kind of future advantage. Ecosystems of this kind grow as more people are willing to contribute  and not (only) under the pressure of centralized investments.,latency; tps; security,weak,0.0023,1.2,1.0,0,0.3416
Vision general,10,GG22VIRZ,Blockchain-Based Identity Management System and Self-Sovereign Identity Ecosystem: A Comprehensive Survey,2022,Introduction,The Identity Management System (IDMS) is a collection of policies and technologies that work together to ensure that the relevant users within an organization have access to technology resources such as applications  systems  speciﬁc services  data  and cloud platforms. It guards against illegal access to systems and resources and generates alerts when unauthorized personnel or programs try to access information The associate editor coordinating the review of this manuscript and approving it for publication was Mehdi Sookhak . from inside or outside the enterprise perimeter. IDMS incor- porates all technologies  procedures  and protocols within an enterprise used to distinguish  validate  and allow someone to use resources or programs within that enterprise and perhaps other similar organizations. Our digital online identity  which we use in our private dealings  occupation  health care system  academic institutions  or different professional associated events  somehow adds to the growing dependence on the digital identity management system  which is equipped to administer and preserve the people’s digital identities with convenient facilities. It has become a crucial component in 113436 This work is licensed under a Creative Commons Attribution 4.0 License. For more information  see https://creativecommons.org/licenses/by/4.0/ VOLUME 10  2022 M. R. Ahmed et al.: Blockchain-Based IDMS and SSI Ecosystem: A Comprehensive Survey the management and authentication of digital identities. The purpose of a sophisticated IDMS is to improve the security of data and system productivity while lowering costs  and repetitive tasks. However  there exist several problems with the traditional IDMS  such as theft  fraud  lack of control  and loss of data [1]. By allowing more excellent connectivity across departments and other organizations  digital identi- ﬁcation minimizes the level of administrative protocol and accelerates the timeliness of processes within enterprises. However  enterprises experience design and security difﬁcul- ties with IDMS processes  forcing them to investigate new solutions. The majority of IDMS nowadays are centralized  with a single administrator controlling the system. Blockchain technology and distributed ledger (DL) are generating a lot of buzz and spurring many initiatives in various industrial sectors.,tps; security,weak,0.0023,1.2,1.0,0,0.3416
